Tommy Gun,SAOZISHUIZHENDUO,1,471470.9,354985.2,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,612,Daerljgodi,20,470767.8,356513.6
Down and Out,LowGe,3,371343.4,424315.8,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,134,Jingchita,40,371384,423285.3
Bluezone,,,,,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1646,zd1994925,7,0,0
SCAR-L,Piece_of_Sht,14,535194.3,365380,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,749,chenpan007,,533893.9,367672.1
Down and Out,,,,,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,879,WOJIAOLIGUAPI,26,0,0
Win94,WalrusInHeat,23,367716.3,428741.8,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,256,WuGangFeng,27,367762.2,428378.7
Win94,WalrusInHeat,23,369959.9,429490.2,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,163,lzuizhengui0818,32,370580.2,433197.6
M416,LowGe,3,371510.2,424321.2,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,134,AbelZz,40,367633.6,424287.7
SCAR-L,TONGLIANGZHI,10,432329.8,550157.1,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,232,ZZTYSR,29,433296.1,550911.6
Down and Out,Summertime333,10,433042.9,549550.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,232,zhuyi1993,29,433620.3,549917.4
M416,JoyFeng-,3,571932.8,299159.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1628,98888888kK,7,567754.1,290418.5
Down and Out,NoParkingHere,30,364521.4,424906.5,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,167,Unity_Yi,36,362560.2,426152.6
SCAR-L,FantasticBoys,2,524538.4,345883.6,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1201,Summertime333,10,525804.8,345527
M416,DouYuTV-SeaL,1,566927.6,290606.1,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1905,JoyFeng-,3,568948.1,293965.7
SKS,Reesman22,7,421914.3,276550,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1083,pdfjkkvjk,12,408728.8,293670.3
Down and Out,Corleone_Wu,1,470438.2,363857.9,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,368,Facktk,24,467847.4,363854.5
Mini 14,651651646,1,400426.8,280825.2,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,234,minchusky,27,345627.3,289896.6
Punch,leizong725,5,161887.5,747933.5,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,148,3ssteel,27,0,0
Down and Out,651651646,1,393598.3,289132.6,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,235,NewStar_zsp,27,346469.4,273841.8
Mini 14,651651646,1,439798.3,277661.3,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,467,LimeFlavoredMoon,4,440535.9,361644.9
Mk14,651651646,1,371308.4,345270.2,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,1150,Stringkata,4,441172,277942.2
Mk14,651651646,1,369773.2,345845.1,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,1144,ChapChap,4,441009.8,279617.3
Mk14,651651646,1,359157.2,347636.5,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,1104,xc520jay,6,383750.6,443534.8
Down and Out,#unknown,24,437877.2,280759.4,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,178,SylarBreak,23,438569.2,280818.5
S1897,yueliandiyi,1,435974.8,276332.6,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,209,BestNup,22,436138.7,276787.3
SKS,QuY-BeO---,22,436131.1,280898.6,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,84,foreverann,23,435692.5,280670.9
Down and Out,SuperViolent,12,434142.2,199237.8,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,208,ReiYexia,27,433197.5,197663.3
Down and Out,651651646,1,367390.2,347038.8,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,1135,Lancer_Sao,5,427673.1,352543.6
M16A4,SuperViolent,12,432922.6,196700.3,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,133,#unknown,27,429166.3,178235
